8932.8398	6.466
8932.8481	6.477
8932.8543	6.49
8932.8599	6.516
8932.8724	6.525
8932.8808	6.536
8932.8912	6.553
8932.8974	6.563
8932.9032	6.571
8932.9092	6.575
8932.9176	6.579
8932.9224	6.579
8932.9294	6.582
8932.9384	6.593
8932.944	6.581
8932.9502	6.578
8932.96	6.576
8932.9662	6.566
8978.6655	6.426
8978.6697	6.429
8978.6731	6.448
8978.6752	6.453
8978.678	6.453
8978.6801	6.462
8978.6822	6.473
8978.6891	6.471
8978.6919	6.47
8978.6981	6.478
8978.7009	6.492
8978.7023	6.499
8978.7037	6.502
8978.7141	6.515
8978.7162	6.522
8978.719	6.532
8978.7252	6.541
8978.7232	6.543
8978.7287	6.538
8978.7308	6.55
8978.737	6.549
8978.7384	6.565
8978.7405	6.556
8978.7419	6.561
8978.7481	6.553
8978.7502	6.559
8978.7523	6.566
8978.7537	6.565
8978.7558	6.565
8978.7613	6.566
8978.7641	6.576
8978.7655	6.573
8978.7676	6.577
8978.769	6.586
8978.7738	6.585
8978.7766	6.579
8978.778	6.573
8978.7794	6.579
8978.7808	6.581
8978.7822	6.585
8978.7877	6.587
8978.7898	6.585
8978.7919	6.589
8978.7933	6.592
8978.7954	6.591
8978.812	6.556
8978.8148	6.55
8978.8176	6.551
8978.8193	6.556
8978.8217	6.553
8978.8245	6.542
8978.8259	6.55
8978.828	6.55
8978.8342	6.524
8978.837	6.527
8978.8398	6.513
8978.8412	6.532
8978.8426	6.518
8978.8488	6.502
8978.8523	6.512
8978.8544	6.497
8978.8558	6.501
8978.8579	6.495
8978.8599	6.483
8978.8613	6.485
8978.8669	6.482
8978.869	6.482
8978.8704	6.47
8978.8718	6.472
8978.8787	6.445
8978.8801	6.455
8978.8822	6.445
8978.8835	6.456
8978.8905	6.452
8978.8974	6.428
8978.8995	6.423
8978.9016	6.408
8978.9065	6.413
8978.9085	6.415
8978.9099	6.42
8978.9162	6.406
8978.9183	6.405
8978.9196	6.385
8978.9259	6.392
8978.928	6.386
8978.9329	6.375
8978.9349	6.358
8978.9363	6.36
8978.9537	6.368
8978.9558	6.374
8995.7322	6.367
8995.7398	6.37
8995.7447	6.367
8995.7481	6.379
8995.7579	6.361
8995.7599	6.366
8995.7613	6.364
8995.7634	6.364
8995.7655	6.368
8995.7704	6.369
8995.7724	6.363
8995.7738	6.365
8995.7752	6.368
8995.7773	6.367
8995.7822	6.368
8995.7842	6.378
8995.7856	6.365
8995.7877	6.373
8995.7891	6.371
8995.8085	6.372
8995.8106	6.372
8995.812	6.368
8995.8134	6.37
8995.8148	6.365
8995.821	6.372
8995.8231	6.362
8995.8245	6.364
8995.8259	6.364
8995.8273	6.371
8995.8328	6.369
8995.8356	6.38
8995.837	6.374
8995.8433	6.369
8995.8446	6.371
8995.8467	6.37
8995.8481	6.37
8995.8536	6.379
8995.8551	6.365
8995.8572	6.366
8995.862	6.355
